# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs1: 8.5e-05 0 218661 2186.61 1679.37 1967 2098
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.008331 0.057996 2.16113e+07 216113 1.48879e+06 194651 195652
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007054 0.052996 1.83819e+07 183819 1.37838e+06 165626 166039
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 7.7e-05 0.002 208169 2081.69 7810.89 1704 1915
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/buffers: 0.110841 0.110982 2.87489e+08 2.87489e+07 3.30186e+07 3.16051e+06 3.72755e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.030175 0.027996 7.82796e+07 7.82796e+06 1.07896e+06 7.01911e+06 7.80096e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 6.9e-05 0 190251 1902.51 1339.7 1630 1884
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs1: 9e-06 0 22018 2201.8 288.582 2095 2095
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync: 0.001463 0.009997 3.79549e+06 37954.9 455027 25137 32898
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/mask: 0.000378 0.005999 1.00897e+06 10089.7 15521.8 7335 10865
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol: 0.00177 0.013998 4.58126e+06 45812.6 619635 31653 107129
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol: 0.006531 0.042992 1.69476e+07 169476 943156 144686 201913
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs2: 0.003984 0.027996 1.0651e+07 17751.7 526639 11250 11884
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs1: 0.000508 0.004998 1.31068e+06 2184.47 4331.32 1979 2055
main/Initialise/CallInitial/Poison: 4.35131 0.799879 1.12849e+10 1.12849e+09 1.44335e+09 7.95411e+08 8.4228e+08
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid: 0.462 4.43533 1.19821e+09 1.19821e+07 2.08133e+08 9.61412e+06 1.0034e+07
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs3: 8.3e-05 0.001 200178 2001.78 7807.72 1749 1780
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs2: 0.001193 0.008998 3.17019e+06 31701.9 570179 18546 94358
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs1: 0.000104 0 280221 2802.21 2183.88 2474 2725
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm: 0.01385 0.099983 3.59147e+07 359147 1.77111e+06 299233 475534
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_boxes: 0.083171 1.3108 2.15745e+08 2.15745e+06 1.96768e+08 56423 360057
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/reflux: 8.4e-05 0 206794 2067.94 4373.98 1826 1899
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol: 0.001133 0.011 2.92712e+06 29271.2 85843.2 23397 66376
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/unusedpoints_mask: 7.9e-05 0.001 197116 1971.16 4184.19 1814 1844
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs3: 6.4e-05 0.001 185511 1855.11 2727.76 1618 1756
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs2: 0.000622 0.009 1.6786e+06 16786 72043.6 11642 54818
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs3: 7.1e-05 0 181505 1815.05 1259.95 1643 1750
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs3: 0.000434 0.002999 1.1121e+06 1853.49 9649.3 1676 1753
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync: 0.00124 0.009998 3.21775e+06 32177.5 277746 22449 27077
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs1: 8.3e-05 0.001999 216613 2166.13 1742.87 1979 2144
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs2: 0.000737 0.005999 1.97724e+06 19772.4 274300 11082 15487
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs3: 6.6e-05 0 181873 1818.73 1163.86 1658 1756
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs2: 0.000598 0.005 1.59449e+06 15944.9 39627.9 11422 14508
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol: 0.001096 0.009 2.85587e+06 28558.7 65688.8 23079 26094
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs1: 8.7e-05 0 217383 2173.83 1994.68 1976 2120
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs3: 6.8e-05 0.001 186742 1867.42 1557.05 1732 1799
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose: 0.017092 0.004 4.43254e+07 4.92505e+06 1.57615e+06 4.08078e+06 5.81999e+06
meta mode/meta mode/global mode/leave_level_mode: 0.000859 0.006999 2.26806e+06 7109.91 105579 4377 5280
meta mode/meta mode: 374.267 4803.99 9.70645e+11 9.70645e+11 0 9.70645e+11 9.70645e+11
meta mode/meta mode/global mode/level(0)/leave_local_mode: 0.002252 0.032993 5.44737e+06 20175.4 382089 1674 17218
meta mode/meta mode/global mode/level(0)/leave_singlemap_mode: 0.000736 0.007 1.86802e+06 6817.59 98244 1667 7066
meta mode/meta mode/leave_global_mode: 0.0034 0.039991 8.89746e+06 89873.3 545800 29937 144012
meta mode/meta mode/global mode/level(0): 182.537 2546.43 4.73402e+11 5.56943e+09 4.58325e+11 28304 1.0404e+06
meta mode/meta mode/global mode: 373.998 4803.55 9.69948e+11 9.79746e+09 4.77295e+11 20718 1.16072e+10
main/Initialise/CallSetup: 0.039247 0.006999 1.01784e+08 1.01784e+08 0 1.01784e+08 1.01784e+08
meta mode/meta mode/global mode/level(0)/enter_local_mode: 0.00549 0.045988 1.43275e+07 53262.2 909864 1646 157847
main/Initialise/CarpetLib::ggf::recompose_crop: 0.000883 0 2.13691e+06 2173.87 16430.1 1915 2294
main/Initialise/CarpetLib::ggf::recompose_allocate: 0.001074 0 2.79625e+06 2844.61 33156.2 2450 2829
main/Initialise/CallInitial/CCTK_POSTINITIAL/CallFunction/thorns/ML_BSSN_SelectBoundConds: 0.000547 0.006998 1.42545e+06 142545 376565 98378 101367
main/Initialise/CallInitial/CCTK_POSTINITIAL/CallFunction/thorns/ML_BSSN_EnforceEverywhere: 0.032409 0.513924 8.41319e+07 8.41319e+06 1.65524e+07 4.49108e+06 5.09695e+06
main/Initialise: 374.035 4803.73 9.70044e+11 9.70044e+11 0 9.70044e+11 9.70044e+11
main/Initialise/dh::recompose_free_old: 0.000665 0 1.71044e+06 1740.02 1272.3 1563 1789
meta mode/meta mode/enter_global_mode: 0.012305 0.126979 3.20508e+07 327048 1.57019e+06 154492 158025
meta mode/meta mode/global mode/enter_level_mode: 0.001066 0.007999 2.75839e+06 8674.19 81310.2 4637 9436
meta mode/meta mode/global mode/level(0)/enter_singlemap_mode: 0.000549 0.003 1.53395e+06 5618.88 141788 1670 7540
main/Initialise/CallSetup/Poison: 0.031227 0.002 8.09847e+07 8.09847e+07 0 8.09847e+07 8.09847e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose/CarpetLib::ggf::recompose_allocate: 0.013328 0.003 3.47622e+07 34797 2.63073e+06 11859 37960
main/Initialise/CallSetup/CCTK_WRAGH: 0.004127 0.001999 1.07049e+07 1.07049e+07 0 1.07049e+07 1.07049e+07
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns: 0.002818 0.001 7.31457e+06 281329 2.16984e+06 20631 157352
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_InitSymBound: 4.2e-05 0 108466 108466 0 108466 108466
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Boundary_RegisterBCs: 1.3e-05 0 33917 33917 0 33917 33917
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction: 0.00395 0.001999 1.02395e+07 393827 2.35897e+06 25529 369230
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/CarpetRegrid2_Initialise: 5.4e-05 0 138926 138926 0 138926 138926
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/RegisterCartGrid3DCoords: 5e-05 0 128260 128260 0 128260 128260
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_ActivateSlicing: 6e-06 0 13771 13771 0 13771 13771
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_SetNextSlicing: 2e-06 0 5873 5873 0 5873 5873
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_ParamCompat: 0.00051 0 1.32528e+06 1.32528e+06 0 1.32528e+06 1.32528e+06
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_SetupIndexArrays: 6.8e-05 0 177773 177773 0 177773 177773
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_SetScheduleStatus: 3.5e-05 0 90985 90985 0 90985 90985
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_ADMConstraints_RegisterVars: 6.8e-05 0 175201 175201 0 175201 175201
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterVars: 0.000208 0 540341 540341 0 540341 540341
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterConstrained: 0.000143 0 372127 372127 0 372127 372127
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/WeylScal4_RegisterVars: 6.4e-05 0 165589 165589 0 165589 165589
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TmunuBase_SetStressEnergyState: 0.000142 0 368197 368197 0 368197 368197
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Slab_InitTimers: 1.8e-05 0 47051 47051 0 47051 47051
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MaskSym: 1.4e-05 0 36960 36960 0 36960 36960
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MaskSym_emask: 1.1e-05 0 27477 27477 0 27477 27477
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/RegisterSymmetryBoundaries: 1.3e-05 0 33632 33632 0 33632 33632
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterSymmetries: 0.000175 0 455738 455738 0 455738 455738
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ReflectionSymmetry_Register: 9e-06 0 24100 24100 0 24100 24100
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/WeylScal4_RegisterSymmetries: 8.7e-05 0 226956 226956 0 226956 226956
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/SymBase_Statistics: 1e-05 0 25523 25523 0 25523 25523
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TerminationTrigger_StartTimer: 2.1e-05 0.001 54585 54585 0 54585 54585
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_ADMConstraints_RegisterSymmetries: 6.2e-05 0 160197 160197 0 160197 160197
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TerminationTrigger_CreateFile: 0.000739 0 1.91768e+06 1.91768e+06 0 1.91768e+06 1.91768e+06
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_ReportNumberVariables: 5.1e-05 0 134187 134187 0 134187 134187
main/Initialise/CallSetup/CCTK_PARAMCHECK: 0.002273 0.001 5.89603e+06 5.89603e+06 0 5.89603e+06 5.89603e+06
main/Initialise/CallInitial/CallRegridInitialMeta: 1.78988 1.77173 4.64197e+09 4.64197e+09 0 4.64197e+09 4.64197e+09
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction: 0.00218 0.001 5.65562e+06 403973 2.39068e+06 24305 1.57553e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns: 0.002069 0.001 5.36543e+06 383245 2.37593e+06 19311 1.56976e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ADMBase_ParamCheck: 1.9e-05 0 48482 48482 0 48482 48482
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Boundary_Check: 2e-06 0 3065 3065 0 3065 3065
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetParamCheck: 3.7e-05 0 95628 95628 0 95628 95628
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetLib_test_prolongate_3d_rf2: 1.3e-05 0 33256 33256 0 33256 33256
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetRegrid2_ParamCheck: 4.5e-05 0 118422 118422 0 118422 118422
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ParamCheck_CartGrid3D: 1e-05 0 26220 26220 0 26220 26220
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/dissipation_paramcheck: 9.8e-05 0 253387 253387 0 253387 253387
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CheckFortranParameters: 1e-06 0 3594 3594 0 3594 3594
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ML_BSSN_ParamCheck: 0.000174 0 452030 452030 0 452030 452030
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/MoL_ParamCheck: 3.3e-05 0 86057 86057 0 86057 86057
main/Initialise/CallInitial: 315.734 4422.75 8.18843e+11 8.18843e+11 0 8.18843e+11 8.18843e+11
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Multipole_ParamCheck: 2.9e-05 0 75354 75354 0 75354 75354
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/qlm_paramcheck: 0.000841 0.001 2.18221e+06 2.18221e+06 0 2.18221e+06 2.18221e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/TwoPunctures_ParamCheck: 6e-05 0 154186 154186 0 154186 154186
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Vectors_Test: 0.000593 0 1.54037e+06 1.54037e+06 0 1.54037e+06 1.54037e+06
main/Initialise/CallInitial/CallRegridInitialMeta/CCTK_PREREGRIDINITIAL: 6e-06 0 15301 15301 0 15301 15301
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap: 1.72418 1.72174 4.47159e+09 4.47159e+09 0 4.47159e+09 4.47159e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/CarpetRegrid2::RegridMaps: 0.045455 0.042993 1.17889e+08 1.17889e+08 0 1.17889e+08 1.17889e+08
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/PostRegrid: 0.000127 0 328089 328089 0 328089 328089
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CheckRegions: 3e-06 0 9118 9118 0 9118 9118
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid: 1.72341 1.72174 4.46958e+09 4.46958e+09 0 4.46958e+09 4.46958e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid: 1.71583 1.71374 4.44994e+09 4.44994e+09 0 4.44994e+09 4.44994e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 0.015908 0.014998 4.12785e+07 4.12785e+06 5.06039e+06 2447 5.30149e+06
meta mode/meta mode/global mode/level(2): 33.6846 498.346 8.73597e+10 3.63999e+09 7.44576e+10 14404 1.47004e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 8e-06 0 19105 1910.5 440.847 1707 1946
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 0.024807 0.025996 6.43458e+07 6.43458e+06 6.78707e+06 2465 7.1174e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.038396 0.036995 9.95855e+07 9.95855e+06 2.99884e+06 7.13528e+06 1.04184e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.089912 0.089987 2.33179e+08 2.33179e+07 2.28377e+07 1.72933e+06 2.61704e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/unusedpoints_mask: 0.111584 0.110986 2.89411e+08 2.89411e+07 3.99635e+07 2364 4.07611e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007905 0.007999 2.05168e+07 2.05168e+06 617969 1.50274e+06 2.05704e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.000114 0 302967 30296.7 17025.5 27144 27737
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 0.04108 0.040994 1.06558e+08 1.06558e+07 1.12475e+07 2199 1.16653e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs2: 0.000364 0.001 959119 95911.9 78598.1 57374 105208
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync: 0.000201 0 515913 51591.3 85872.5 40196 40196
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm: 0.002727 0.001 7.08144e+06 708144 470098 593087 614163
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol: 0.000454 0.001 1.18044e+06 118044 71821.4 83876 120163
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs3: 1.1e-05 0 28257 2825.7 886.386 2349 2670
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs1: 1.1e-05 0 28635 2863.5 708.712 2594 2970
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol: 0.000194 0 498655 49865.5 65493.4 39881 39881
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/mask: 1.3212 1.3228 3.4265e+09 3.4265e+08 3.9701e+08 8195 4.31023e+08
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs1: 1.3e-05 0 23321 2332.1 222.137 2193 2193
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 5e-06 0 17841 1784.1 315.327 1648 1740
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs3: 1e-05 0 25318 2531.8 1281.26 2160 2160
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_boxes: 0.008673 0.012998 2.24954e+07 2.24954e+06 3.84018e+06 334562 2.5141e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs3: 1.2e-05 0 27230 2723 2421.03 2016 2092
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs1: 4.4e-05 0 124675 2077.92 509.025 1954 2031
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/reflux: 1e-05 0 23778 2377.8 623.102 2193 2463
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs2: 0.00011 0 289280 28928 11872.9 23027 27300
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol: 0.000671 0 1.74004e+06 174004 111394 152036 152865
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs2: 0.000398 0 1.06354e+06 17725.6 78071.8 13303 15447
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs3: 4.6e-05 0 105300 1755 270.081 1661 1762
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs1: 1e-05 0 20787 2078.7 182.861 1976 2080
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_ref_prol/CarpetLib::dh::bs1: 8e-06 0 20764 2076.4 218.825 1985 2068
