# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/Initialise/CallInitial/CCTK_POSTINITIAL/CallFunction/thorns/ML_BSSN_EnforceEverywhere: 0.04548 0.744886 1.18066e+08 1.18066e+07 1.2937e+07 4.38302e+06 1.18616e+07
main/Initialise: 374.009 5323.49 9.69966e+11 9.69966e+11 0 9.69966e+11 9.69966e+11
main/Initialise/dh::recompose_free_old: 0.000649 0 1.6897e+06 1718.92 7599.36 1554 1599
meta mode/meta mode/enter_global_mode: 0.015264 0.17397 3.97163e+07 405268 2.37589e+06 155694 159111
meta mode/meta mode/global mode/enter_level_mode: 0.001068 0.010999 2.81159e+06 8841.47 102136 4717 6368
meta mode/meta mode/global mode/level(0)/enter_singlemap_mode: 0.000533 0.008 1.39488e+06 5109.47 77850.4 1511 6736
main/Initialise/CallSetup/Poison: 0.03065 0.006 7.94889e+07 7.94889e+07 0 7.94889e+07 7.94889e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose/CarpetLib::ggf::recompose_allocate: 0.012688 0.001 3.32149e+07 33248.2 2.31205e+06 10589 40594
main/Initialise/CallSetup/CCTK_WRAGH: 0.003277 0.003999 8.49709e+06 8.49709e+06 0 8.49709e+06 8.49709e+06
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns: 0.002033 0.003 5.26652e+06 202558 1.4198e+06 20369 117966
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_InitSymBound: 4e-05 0 105888 105888 0 105888 105888
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Boundary_RegisterBCs: 1.1e-05 0 29597 29597 0 29597 29597
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction: 0.003106 0.003 8.0564e+06 309862 1.78173e+06 24850 323743
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/CarpetRegrid2_Initialise: 5.3e-05 0 138693 138693 0 138693 138693
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/RegisterCartGrid3DCoords: 4.8e-05 0 126292 126292 0 126292 126292
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_ActivateSlicing: 5e-06 0 13260 13260 0 13260 13260
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Einstein_SetNextSlicing: 2e-06 0 5405 5405 0 5405 5405
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_ParamCompat: 0.00053 0.001 1.37496e+06 1.37496e+06 0 1.37496e+06 1.37496e+06
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_SetupIndexArrays: 5.4e-05 0 139702 139702 0 139702 139702
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_SetScheduleStatus: 3.3e-05 0 87568 87568 0 87568 87568
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_ADMConstraints_RegisterVars: 6.5e-05 0 168303 168303 0 168303 168303
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterVars: 0.000204 0 529599 529599 0 529599 529599
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterConstrained: 0.000146 0.001 379845 379845 0 379845 379845
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/WeylScal4_RegisterVars: 5.7e-05 0 148203 148203 0 148203 148203
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TmunuBase_SetStressEnergyState: 0.00014 0 363832 363832 0 363832 363832
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/Slab_InitTimers: 1.8e-05 0 45194 45194 0 45194 45194
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MaskSym: 1.4e-05 0 36097 36097 0 36097 36097
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MaskSym_emask: 1.1e-05 0 27517 27517 0 27517 27517
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/RegisterSymmetryBoundaries: 1.3e-05 0 32873 32873 0 32873 32873
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_BSSN_RegisterSymmetries: 0.00017 0 443731 443731 0 443731 443731
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ReflectionSymmetry_Register: 8e-06 0 22185 22185 0 22185 22185
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/WeylScal4_RegisterSymmetries: 9e-05 0.001 235037 235037 0 235037 235037
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/SymBase_Statistics: 5e-06 0 11679 11679 0 11679 11679
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TerminationTrigger_StartTimer: 9e-06 0 21865 21865 0 21865 21865
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/ML_ADMConstraints_RegisterSymmetries: 6.2e-05 0 159276 159276 0 159276 159276
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/TerminationTrigger_CreateFile: 3e-06 0 8097 8097 0 8097 8097
main/Initialise/CallSetup/CCTK_WRAGH/CallFunction/thorns/MoL_ReportNumberVariables: 3.8e-05 0 97913 97913 0 97913 97913
main/Initialise/CallSetup/CCTK_PARAMCHECK: 0.002229 0.002 5.78204e+06 5.78204e+06 0 5.78204e+06 5.78204e+06
main/Initialise/CallInitial/CallRegridInitialMeta: 1.79824 1.77973 4.66361e+09 4.66361e+09 0 4.66361e+09 4.66361e+09
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction: 0.00214 0.001 5.54713e+06 396224 2.33049e+06 23354 1.55657e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns: 0.002028 0.001 5.26025e+06 375732 2.31236e+06 18558 1.55066e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ADMBase_ParamCheck: 1.9e-05 0 48155 48155 0 48155 48155
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Boundary_Check: 1e-06 0 2949 2949 0 2949 2949
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetParamCheck: 3.7e-05 0 96280 96280 0 96280 96280
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetLib_test_prolongate_3d_rf2: 1.1e-05 0 29588 29588 0 29588 29588
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CarpetRegrid2_ParamCheck: 4.5e-05 0 118058 118058 0 118058 118058
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ParamCheck_CartGrid3D: 1e-05 0 25266 25266 0 25266 25266
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/dissipation_paramcheck: 9.5e-05 0 246199 246199 0 246199 246199
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/CheckFortranParameters: 1e-06 0 3827 3827 0 3827 3827
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/ML_BSSN_ParamCheck: 0.00018 0 467523 467523 0 467523 467523
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/MoL_ParamCheck: 3.2e-05 0 83136 83136 0 83136 83136
main/Initialise/CallInitial: 347.331 4932.37 9.00777e+11 9.00777e+11 0 9.00777e+11 9.00777e+11
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Multipole_ParamCheck: 3e-05 0 79138 79138 0 79138 79138
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/qlm_paramcheck: 0.000811 0 2.10542e+06 2.10542e+06 0 2.10542e+06 2.10542e+06
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/TwoPunctures_ParamCheck: 5.7e-05 0 149616 149616 0 149616 149616
main/Initialise/CallSetup/CCTK_PARAMCHECK/CallFunction/thorns/Vectors_Test: 0.000586 0.001 1.52073e+06 1.52073e+06 0 1.52073e+06 1.52073e+06
main/Initialise/CallInitial/CallRegridInitialMeta/CCTK_PREREGRIDINITIAL: 6e-06 0 15205 15205 0 15205 15205
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap: 1.72363 1.72174 4.4701e+09 4.4701e+09 0 4.4701e+09 4.4701e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/CarpetRegrid2::RegridMaps: 0.045378 0.045993 1.17686e+08 1.17686e+08 0 1.17686e+08 1.17686e+08
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/PostRegrid: 0.000652 0.001 1.69272e+06 1.69272e+06 0 1.69272e+06 1.69272e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs3: 9e-06 0 22020 2202 1745.82 1612 1615
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync: 0.000139 0 364676 36467.6 82716.7 24709 26624
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CheckRegions: 3e-06 0 8339 8339 0 8339 8339
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/buffers: 0.111294 0.110983 2.88661e+08 2.88661e+07 3.31197e+07 3.17596e+06 3.72824e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid: 1.72339 1.72174 4.46949e+09 4.46949e+09 0 4.46949e+09 4.46949e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol: 0.000197 0 515217 51521.7 71883.6 38819 38819
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid: 1.71584 1.71374 4.44989e+09 4.44989e+09 0 4.44989e+09 4.44989e+09
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.001057 0 2.73533e+06 273533 20340.3 267222 271841
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.038398 0.037996 9.95991e+07 9.95991e+06 2.99922e+06 7.1382e+06 1.04011e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 0.017456 0.015997 4.52885e+07 4.52885e+06 5.31944e+06 2083 5.57635e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.092452 0.092985 2.3977e+08 2.3977e+07 2.40321e+07 1.64268e+06 2.48342e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol: 0.000672 0 1.74369e+06 174369 118496 149797 149797
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.000122 0 321964 32196.4 18797.6 24061 25217
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 0.040734 0.042993 1.05661e+08 1.05661e+07 1.23817e+07 1954 1.00296e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007886 0.007999 2.0463e+07 2.0463e+06 1.25268e+06 1.44744e+06 1.80451e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_boxes: 0.004841 0.009998 1.25613e+07 1.25613e+06 3.38508e+06 62599 1.84738e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 7e-06 0 18291 1829.1 492.415 1639 1639
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_rest: 0.000171 0 440500 48944.4 92997.1 32466 39630
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs2: 0.000346 0.001 911113 91111.3 73349.1 49966 94753
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync: 0.000199 0 514553 51455.3 84224.3 35244 36091
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs1: 1.1e-05 0 27635 2763.5 433.678 2554 2759
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 6e-06 0 17472 1747.2 269.762 1630 1630
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/reflux: 7e-06 0 21896 2189.6 361.556 2062 2230
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/unusedpoints_mask: 0.111443 0.108982 2.89047e+08 2.89047e+07 4.0126e+07 2312 4.12852e+07
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs3: 7e-06 0 21666 2166.6 1540.61 1661 1661
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 0.026181 0.025996 6.79135e+07 6.79135e+06 7.17539e+06 1881 7.39597e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs1: 7e-06 0 21605 2160.5 383.532 1927 1927
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol: 0.000434 0.001 1.12822e+06 112822 65931.7 79780 107646
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm: 0.002726 0.001 7.06721e+06 706721 462624 590671 609844
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs1: 9e-06 0 19735 1973.5 260.235 1869 1918
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs3: 9e-06 0 26336 2633.6 3114.75 1551 1557
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/mask: 1.32243 1.3228 3.42966e+09 3.42966e+08 3.97965e+08 11170 4.32519e+08
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol/CarpetLib::dh::bs2: 0.00012 0 318025 31802.5 13471 28242 28349
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/old2new_sync/CarpetLib::dh::bs1: 7e-06 0 18961 1896.1 332.726 1783 1783
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs3: 4.2e-05 0 107961 1799.35 8663.49 1578 1581
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs2: 0.000413 0 1.10192e+06 18365.4 82493.9 13700 15985
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_refl_prol/CarpetLib::dh::bs1: 4.2e-05 0 113503 1891.72 631.82 1747 1747
